Time Stamp,Time Zone,SENY 10 Min Spinning Reserve ($/MWHr),SENY 10 Min Non-Synchronous Reserve ($/MWHr),SENY 30 Min Operating Reserve ($/MWHr),East 10 Min Spinning Reserve ($/MWHr),East 10 Min Non-Synchronous Reserve ($/MWHr),East 30 Min Operating Reserve ($/MWHr),East Regulation ($/MWHr),West 10 Min Spinning Reserve ($/MWHr),West 10 Min Non-Synchronous Reserve ($/MWHr),West 30 Min Operating Reserve ($/MWHr),West Regulation ($/MWHr), NYCA Regulation Movement ($/MW)
01/24/2016 00:00:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:05:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:10:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:15:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:20:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:25:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:30:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:35:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:40:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:45:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:50:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 00:55:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:00:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:05:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:10:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:15:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:20:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:25:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
01/24/2016 01:30:00,EST,0,0,0,0,0,0,5,0,0,0,5,0.3
