Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),,,,Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/24/2016 00:05:00,CAPITL,61757,51.38,3.45,0,,,,,,,,,
01/24/2016 00:05:00,CENTRL,61754,48.27,0.34,0,,,,,,,,,
01/24/2016 00:05:00,DUNWOD,61760,52.1,4.17,0,,,,,,,,,
01/24/2016 00:05:00,GENESE,61753,46.78,-1.15,0,,,,,,,,,
01/24/2016 00:05:00,H Q,61844,47.07,-0.86,0,,,,,,,,,
01/24/2016 00:05:00,HUD VL,61758,52.19,4.26,0,,,,,,,,,
01/24/2016 00:05:00,LONGIL,61762,53.3,5.37,0,,,,,,,,,
01/24/2016 00:05:00,MHK VL,61756,50.18,2.25,0,,,,,,,,,
01/24/2016 00:05:00,MILLWD,61759,52.24,4.32,0,,,,,,,,,
01/24/2016 00:05:00,N.Y.C.,61761,52.24,4.32,0,,,,,,,,,
01/24/2016 00:05:00,NORTH,61755,47.88,-0.05,0,,,,,,,,,
01/24/2016 00:05:00,NPX,61845,51.52,3.6,0,,,,,,,,,
01/24/2016 00:05:00,O H,61846,45,-2.93,0,,,,,,,,,
01/24/2016 00:05:00,PJM,61847,49.46,1.53,0,,,,,,,,,
01/24/2016 00:05:00,WEST,61752,45.68,-2.25,0,,,,01/24/2016 00:00:00,WEST,61752,44.83,-2.71,0
01/24/2016 00:10:00,CAPITL,61757,51.14,3.44,0,,,,,,,,,
01/24/2016 00:10:00,CENTRL,61754,47.99,0.29,0,,,,,,,,,
01/24/2016 00:10:00,DUNWOD,61760,51.9,4.2,0,,,,,,,,,
01/24/2016 00:10:00,GENESE,61753,46.46,-1.24,0,,,,,,,,,
01/24/2016 00:10:00,H Q,61844,46.85,-0.86,0,,,,,,,,,
01/24/2016 00:10:00,HUD VL,61758,52,4.3,0,,,,,,,,,
01/24/2016 00:10:00,LONGIL,61762,53.05,5.34,0,,,,,,,,,
01/24/2016 00:10:00,MHK VL,61756,49.9,2.2,0,,,,,,,,,
01/24/2016 00:10:00,MILLWD,61759,52.05,4.34,0,,,,,,,,,
01/24/2016 00:10:00,N.Y.C.,61761,52.09,4.39,0,,,,,,,,,
01/24/2016 00:10:00,NORTH,61755,47.7,0,0,,,,,,,,,
01/24/2016 00:10:00,NPX,61845,51.33,3.62,0,,,,,,,,,
01/24/2016 00:10:00,O H,61846,44.7,-3,0,,,,,,,,,
01/24/2016 00:10:00,PJM,61847,49.19,1.48,0,,,,,,,,,
01/24/2016 00:10:00,WEST,61752,45.32,-2.38,0,,,,,,,,,
01/24/2016 00:15:00,CAPITL,61757,51,3.34,0,,,,,,,,,
01/24/2016 00:15:00,CENTRL,61754,47.71,0.05,0,,,,,,,,,
01/24/2016 00:15:00,DUNWOD,61760,51.71,4.05,0,,,,,,,,,
01/24/2016 00:15:00,GENESE,61753,46.19,-1.48,0,,,,,,,,,
01/24/2016 00:15:00,H Q,61844,46.9,-0.76,0,,,,,,,,,
01/24/2016 00:15:00,HUD VL,61758,51.81,4.14,0,,,,,,,,,
01/24/2016 00:15:00,LONGIL,61762,52.77,5.1,0,,,,,,,,,
01/24/2016 00:15:00,MHK VL,61756,49.76,2.09,0,,,,,,,,,
01/24/2016 00:15:00,MILLWD,61759,51.86,4.2,0,,,,,,,,,
01/24/2016 00:15:00,N.Y.C.,61761,51.95,4.29,0,,,,,,,,,
01/24/2016 00:15:00,NORTH,61755,47.85,0.19,0,,,,,,,,,
01/24/2016 00:15:00,NPX,61845,51.19,3.53,0,,,,,,,,,
01/24/2016 00:15:00,O H,61846,44.23,-3.43,0,,,,,,,,,
01/24/2016 00:15:00,PJM,61847,48.86,1.19,0,,,,,,,,,
01/24/2016 00:15:00,WEST,61752,44.9,-2.77,0,,,,,,,,,
01/24/2016 00:20:00,CAPITL,61757,50.81,3.28,0,,,,,,,,,
01/24/2016 00:20:00,CENTRL,61754,47.63,0.1,0,,,,,,,,,
01/24/2016 00:20:00,DUNWOD,61760,51.57,4.04,0,,,,,,,,,
01/24/2016 00:20:00,GENESE,61753,46.11,-1.42,0,,,,,,,,,
01/24/2016 00:20:00,H Q,61844,46.77,-0.76,0,,,,,,,,,
01/24/2016 00:20:00,HUD VL,61758,51.62,4.09,0,,,,,,,,,
01/24/2016 00:20:00,LONGIL,61762,52.48,4.94,0,,,,,,,,,
01/24/2016 00:20:00,MHK VL,61756,49.62,2.09,0,,,,,,,,,
01/24/2016 00:20:00,MILLWD,61759,51.72,4.18,0,,,,,,,,,
01/24/2016 00:20:00,N.Y.C.,61761,51.86,4.32,0,,,,,,,,,
01/24/2016 00:20:00,NORTH,61755,47.77,0.24,0,,,,,,,,,
01/24/2016 00:20:00,NPX,61845,50.96,3.42,0,,,,,,,,,
01/24/2016 00:20:00,O H,61846,44.25,-3.28,0,,,,,,,,,
01/24/2016 00:20:00,PJM,61847,48.82,1.28,0,,,,,,,,,
01/24/2016 00:20:00,WEST,61752,44.87,-2.66,0,,,,,,,,,
01/24/2016 00:25:00,CAPITL,61757,50.86,3.33,0,,,,,,,,,
01/24/2016 00:25:00,CENTRL,61754,47.58,0.05,0,,,,,,,,,
01/24/2016 00:25:00,DUNWOD,61760,51.62,4.09,0,,,,,,,,,
01/24/2016 00:25:00,GENESE,61753,46.06,-1.47,0,,,,,,,,,
01/24/2016 00:25:00,H Q,61844,46.77,-0.76,0,,,,,,,,,
01/24/2016 00:25:00,HUD VL,61758,51.72,4.18,0,,,,,,,,,
01/24/2016 00:25:00,LONGIL,61762,52.62,5.09,0,,,,,,,,,
01/24/2016 00:25:00,MHK VL,61756,49.62,2.09,0,,,,,,,,,
01/24/2016 00:25:00,MILLWD,61759,51.76,4.23,0,,,,,,,,,
01/24/2016 00:25:00,N.Y.C.,61761,51.9,4.37,0,,,,,,,,,
